영화명,유형,장르,제작년도,감독,actor
늑대소년,극영화,"드라마,멜로/로맨스,판타지",2012,조성희,"송중기,이영란,장영남,유연석,김향기,유승목,서동수,우정국,남정희,구본임,안도규,신비,이준혁,오영석,해은,이민웅,성도현,차종호,정인겸,김은석,김승훈,이인호,이승주,장서이,홍희원,홍승기,설우신,한민혁,최광락,조재윤,구교환,김철준,박영식,김종곤,신용철,박보영,설우신"
네버엔딩 스토리 ,극영화,드라마,2012,정용주,"엄태웅,정려원,유선),박기웅),최은주,박수용,이병준,이칸희,권해효,김동현,박준영,최정자,이종은,이학준,임지선,나지형,김현정,최혜진,정한진,홍정욱,최상아,엄태옥,조동희,홍선경,구본석,조미초,김영주,서병덕,서지미,홍희자,김정,양대성,이시아,희망사 선호스님,대용사 해문스님,조민서,박채익,이우하,김보미,최문희,박현지,이상원,이정영,손만호,이성학,김칠성,박승우,이규현,박성은,홍연주,차태현,마동석,박성광,동효희,김형범,한정엽,차화연,박용식,안혜경,최선중"
범죄소년,극영화,드라마,2012,강이관,"이정현,서영주,전예진,강래연,정석용,강혁일,최원태,서영화,전채희,전영운,이진형,김가윤,양진범,한근섭,김주오,이기영,배성우,이윤상,지대한,한동희,김경룡,이재은,김근영,조용도,김봉조,민정기,노준호,정태욱,이승현,김양배,한초아,김종국,변요한,김보경,엄태옥,서영주,김다혜,이희경,정은란,손희순,유안,전성애,김정희,홍석빈,김선옥,신재성,박지용,서용민,김하은,임선영,이현아,정미현,박성훈,나지현,나혜진,차승한,장성예,서고은,박수현,정차연,박미정,신지윤,이헌기,이병석,이연경,장완규,장욱태,최형근,남미영,최성하,조유리,장주혜,원미중아이들,전영철,양수철,장민웅,윤용범,고동균,김대환,김일곤,문용수,이정화,이영관,윤두남,석철우,차풍회,이철규,임태섭,목민수,이승준,강성진,김상엽,소경자,이예원,김미숙,서원호,최준석,임경화,안효철,류영주,한서행,윤혜경,이성택,김태은,양영진,안명준,신홍섭,김성무,김준영,김승한,박상원,인승만,박관수,전려경,윤성현,임명진,모리,이지해,전재선,김선영,이성민,서하연,김인영,신나리,양예정,박찬혁,한미숙,박강우,최정식,배종대,고하경,윤두리,이솔,이윤순,김주한,허재창,박삼열,백세권,최영식,서준혁,심흥보,이광현,임종인,최준경,윤경환,신두영"
웨딩스캔들,극영화,"멜로드라마,코메디",2012,신동엽,"김민준,곽지민,이상훈,이세랑,권현민,이하림,차승우,서진원,한성용,김성윤,박소라,조기홍,이충백,김환일,신준호,차민정,송민석,이은경,곽예은,이남이,정하윤,조은주,이한글"
네모난원,극영화,드라마,2012,김성훈,"김정학,정욱,안미나,이한위,최학락,김동수"
핏불테리아,극영화,액션,2012,고명안,"염관섭,이태훈,박재훈"
밤,극영화,"드라마,액션,스릴러",2012,강원,"김창환,강봉성,형영선,박성택"
공모자들 ,극영화,"범죄,스릴러",2012,김홍선,"임창정,최다니엘,오달수,조윤희,정지윤,조달환,이영훈,신승환,최일화,이문수,허준석,김재화,고정일,윤상호,송이주,박세영,박성택,박일목,신혜정,김현미,구지성,이경준,지원,김규선,이다연,유승아,권정은,김주영,곽진,성호,이자민,오일영,김도균,박승명,박새봄,권오진,한은선,임향주,정성욱,발리나,하인환,박지원,정건,권태호,최지향,이현진,이새별,최화영,김종국,최석필,최은용,이재은,홍아영,김민서,왕 알리,장 홍젠,첸 팽웨이,멩 킹지앙,싱 한킹,우 강,리 지티앙,쟈오 윤,왕 셩,손종학,이예슬,공정환,오상진,라미란,김규선"
베를린 ,극영화,액션,2012,류승완,"하정우,한석규,류승범,전지현,김서형,배정남,이경영,John Keogh,Numan Acar,Pasquale Aleardi,최무성,곽도원,토마스 디엠,Tayfun Bademsoy,베르너 단,Sinja Dieks,백승익,박지환,서지오,Toni Varvasoudis,Mathias Gunther,Oskars Lauva,Can Aiyden,백동현,조하석,지건우,권지훈,김선웅,곽진석,Rihards Lepers,Toms Liepainieks,김서원,차은재,박광호,정형호,김아람,Deepika Rai,Martins Pocs,Tamara Sobollova,Didzis Eglitis,Jeff Zafar,Moriel Poorgholy,Rasim Mukhtarov,Kam Yaqub,Andrejs Filipovs,Oleg Vandish,Manvel Isadzanjan,Igor Alijev,Gurgen Michaeljan,David Mikalejan,Tarek Aref,Lafi Khalil,Ahmed Levent,Imad Mardnli,Jan Filkorn,Korkmaz Arslan,Ahmed Dabdoud,Ferhad Nasso,Rico Zinke,Anton Heidrich,명계남,윤종빈,이경미"
점쟁이들,극영화,"공포,코메디",2012,신정원,"김수로,강예원,이제훈,곽도원,우리,양경모,김태훈,이병준,최원영,이미도,김기천,이상희,유순철,임철형,이준혁,정윤민,고서희,제레미 로우,이재희,주상치,김영근,김민교,김선화,방준서,진용욱,주석태,강남현,선우슬기,이태형,김지훈,이연희,김경태,고태은,김관수,전우리,임선화,김수연,이수정,김애란,유형열,이은지,신유진,박지영,이재영,조인영,성민규,정승균,신정섭,김해성,문민식,배성열,백승훈,안창수,최정현,이재덕,함동진,박상희,정승진,조활권,조방신,안현경,김진래,김남수,이주호,장원욱,함동진,김현철,현창조,최상준,김영준,박창현,석상선,송대규,김종철,김진호,윤혜성,한영웅,송영재,추정화,손진환,이주영,고혜란,문종필,김광섭,유혁준,임혁진,김주현,황인정,정슬기,이규현,조요섭,이진운,이은석,이은혜,강애경,김민경,최홍선,김지예,박유영,최정화,박경원,박성훈,강명찬,권성휘,이예다움,이승현,박수현,오상철"
미스터K ,극영화,"액션,코메디",2012,이명세,"설경구,문소리,다니엘 헤니,고창석"
댄싱 퀸,극영화,"드라마,코메디",2012,이석훈,"황정민,엄정화,이한위,정성화,라미란,이대연,정규수,서동원,오나라,최우리,박아롱 ,이아린,박사랑,여무영,권병길,성병숙,이효리,길,마동석,조달환,천보근,안은정,손영순,박용진,박진수,최효상,박기선,김민경,정아미,신선호,윤길,우원호,이병권,조한철,조연호,정명준,임호걸,김정국,김호연,성현미,김건호,김형주,김영선),김성표,함정이,손정상,김재득,송원석,장남열,김광현,민대식,김경식,박정상,유승원,이상혁,태인호,정원영,어성욱,박성근,김탄현,김태범,김지원,허정범,이정건,박세아,박전규,전병덕,현준,전석,김영희,이관영,배윤정"
노리개,극영화,드라마,2012,최승호,"마동석,이승연,민지현,기주봉,박용수,서태화,양영조,장혁진,김광영,황태광,이도아,변요한,송삼동,서호철,김대흥,하시은,김유리,김원희,지원,최교식,김영아,우서경,김혜영,편보승,정건영,탁트인,서동훈,양재원,강미경,김용헌,김주남,정명근,서용원,양은용),김영란,김승환,김영아"
마이 리틀 히어로,극영화,드라마,2012,김성훈,"김래원,지대한,이성민,조안,이광수),황용연,이해영,김원해,임철형,송용식,이환,정진호,박준형,체리쉬,박성택),서동건,김재경,이청미,김해나,김선하,김인혜,조아라,홍인,송욱경,김강일,조민서,김범준,이성훈,윤석현,김무준,이민아,민서연,유일한,유세종,김선우,서연우,정은주,김건하,한근섭,허승호,우원호,강대윤,김성수,황윤선,주양돈,양시은,한성지,김형기,신현묵,정소연,조주현,최지연,임유,조용기,진소정,남궁민희,신진범,안찬웅,김우철,장희수,김성은,홍세정,이송적,조선아,데빈,리처드 김,성태현,정진호"
런닝맨,극영화,"액션,코메디",2012,조동오,"신하균,이민호,김상호,조은지,오정세,주현,김의성,조운,정석용,이도훈,남경읍,원웅재,정민성,구혜령,한수연,김주오,권범택,김수환,정기섭,김두봉,이양석,안상우,설유진,박주형,정연,민지혁,기세형,김대영,유성안,박성일,염동헌,서진원,장우진,김태훈,박국선,김지혜,한승현,오의택,이산드라,김경준,구보혜,태원석,이성규,김선간,김도연,조원철,지성환,김영현,이현준,손영순,김무준,김도율,김혜란,정동석,Were Kevin Thomas,Senin Basily,미슈리스 라코브,Kudryavtseva Vladislava,Okyere Samuel,박상욱,임혜영,최원정,Jan Steenbrugge"
